,shap
t19,0.018114619796950344
t96,0.016600582235121328
t62,0.01603577377430637
t24,0.014745943342358047
t95,0.014484439614584652
t49,0.01446854392046532
t61,0.014232915836303591
t27,0.012948946227606771
t32,0.012881674829966164
t9,0.01235577857689131
t46,0.012253230519527522
t48,0.011868319572857201
t45,0.011784271319805166
t21,0.011371374902673542
t59,0.011161635706809746
t55,0.010522484011008257
t2,0.010113842768521562
t88,0.009962249319028949
t16,0.009878759277480774
t38,0.009834676224769315
t54,0.009580388722797591
t11,0.009184416696055839
t58,0.009160621079303363
t101,0.008672066583636019
t36,0.008643093643806062
t79,0.00858109153548391
t64,0.00819579339553252
t1,0.00788700276194838
t77,0.007625649660438021
t0,0.007611277911825039
t7,0.0075413659809335344
t50,0.007324167116744548
t53,0.007125408222256121
t56,0.007107117446915149
t41,0.006958247535968449
t18,0.006740907274984834
t52,0.006087563499785892
t34,0.0060258871413303265
t33,0.0058303312847958946
t83,0.00579180615691073
t4,0.005628725581659024
t10,0.00558276027369515
t29,0.005579145009131847
t98,0.005552976253916895
t17,0.00554815998143229
t28,0.005265483112658449
t12,0.005239465586049968
t8,0.005062757288191097
t3,0.004818340717871507
t23,0.0047916156324212325
t42,0.0047447751360318955
t93,0.004574724672633281
t47,0.004383194047726429
t74,0.0041657594903918346
t44,0.004063719936091942
t71,0.003860808689230835
t25,0.0037476662192167227
t30,0.003685866178827224
t40,0.0035762000066574926
t89,0.003569649986404803
t66,0.0031999619319751844
t37,0.0031425855258704403
t60,0.003057148140202485
t63,0.0030054840320977434
t90,0.002958919219362825
t86,0.0027983442208833393
t51,0.0027161379990819122
t91,0.002561883753924966
t13,0.002483440585358139
t26,0.0024177216465891965
t15,0.002358739231426725
t43,0.0023527437048633548
t65,0.0023001640153263066
t92,0.0021938191754750026
t31,0.0021586061830643753
t39,0.002108626948532576
t69,0.002013511435182587
t14,0.0017641222602611023
t70,0.001693933820393175
t5,0.0015399184461043337
t57,0.0013933311448673443
t67,0.0013245412656256957
t100,0.0008501918378427136
t22,0.0008096605467373686
t72,0.0006990811306237415
t76,0.00045313292437247735
t87,0.0004275209670599163
t6,0.00041879832012219916
t35,0.00035876229756308744
t80,0.0003151020978458703
t82,0.00030464819042387467
t20,0.00023860967570479974
t68,0.00022237511311736752
t84,0.00022098349108519858
t81,0.00015912372954837665
t97,0.00012533436787535055
t75,0.00012029759541565458
t73,6.2944940608395e-05
t78,5.3756259889699806e-05
t85,4.214678020261039e-05
t99,2.4907675862695803e-05
t94,0.0
