,shap
t32,0.02803166618796688
t48,0.02727679009478921
t55,0.026214916477484442
t17,0.025714669013592553
t95,0.025685346408457065
t10,0.02563821170731287
t83,0.024955974873604937
t59,0.024446832500324738
t61,0.02079954746690438
t12,0.020758567617156064
t7,0.019416767912478438
t89,0.019359713235824062
t54,0.019202150095674643
t9,0.01912238388485027
t1,0.01910209020048453
t40,0.018496610709325102
t51,0.016752102982003008
t79,0.015896379735253412
t0,0.015536687251325133
t66,0.015384518331618734
t36,0.01474485185130646
t15,0.014696722925057
t63,0.014532615805494684
t69,0.01432876588648107
t100,0.014216044265675517
t13,0.01416977095758049
t88,0.013522857688609042
t52,0.013110586898086826
t30,0.013096792987987188
t43,0.012943096676630558
t70,0.011956890160942603
t34,0.011705923148115195
t62,0.011305206732770402
t72,0.011248353592192202
t3,0.01101743010800787
t98,0.010698785388174169
t39,0.010520138680069917
t86,0.010465677603564486
t57,0.010219289194614435
t58,0.010075036822438715
t2,0.009933178348792017
t42,0.009892223378961807
t101,0.00970205249305504
t47,0.009250398595286492
t25,0.009221820040461603
t60,0.008989354029102324
t96,0.008767958033461863
t19,0.008680702800671958
t53,0.00847999707651699
t76,0.008380128668723438
t65,0.007089176389477707
t29,0.006254692794184641
t4,0.006237765910433361
t67,0.0061100012163067
t49,0.005948713023271814
t87,0.005565385051908396
t38,0.0052982265498938
t23,0.005146454413120153
t8,0.00514556932652797
t44,0.004991882767844934
t35,0.0044334563550998945
t41,0.004157650272760414
t37,0.004058501621791961
t16,0.004034157205352942
t21,0.0038930510644365674
t11,0.003652524315948681
t33,0.003561188529435597
t31,0.003373299942469794
t64,0.0032251691857596737
t27,0.00289800938150073
t26,0.0028162357181511677
t28,0.0028062982333694787
t50,0.002784097271976489
t22,0.0027073217645647643
t90,0.0026455674563907413
t5,0.0025925846335130938
t74,0.002440675521948135
t20,0.0022652226350790114
t91,0.002070447130320941
t73,0.0015565026095550483
t24,0.0014490438410706573
t77,0.0012445051815290105
t85,0.0010476858762920199
t6,0.0009701951131031249
t97,0.0009276874723334765
t56,0.0009267294559758874
t82,0.0008263782759348798
t80,0.0006998115073245683
t18,0.0006845783359232967
t45,0.0006749428969559165
t46,0.000672719759238043
t92,0.0005962910416782255
t71,0.0005752427574022534
t75,0.000552546655111406
t14,0.000513230182522167
t99,0.0005113363839549064
t81,0.00042835018156268186
t93,0.00039964930690814345
t68,0.00034447257458242766
t78,0.00012360686376234445
t84,2.5910228468912937e-06
t94,0.0
