,shap
t24,0.03097216111355613
t19,0.03052239877179195
t62,0.0299949423092047
t46,0.0248819236534762
t96,0.024255092342421892
t38,0.02278811256516298
t27,0.022771771239171533
t21,0.022720340507988653
t49,0.022463302844513724
t2,0.02175461783924806
t32,0.021117286807555792
t101,0.02103959361119565
t59,0.02011360761935564
t95,0.01926664736199867
t55,0.0188897383954983
t48,0.018680363937960732
t9,0.018548282056555176
t61,0.018473372317051772
t54,0.018214176270639232
t45,0.017755455867848654
t64,0.016069611514443614
t18,0.015767275967526067
t7,0.01553653290847051
t8,0.01471626260432946
t11,0.01419165967857607
t56,0.01405472183279239
t40,0.013990748650077134
t41,0.013937391447419565
t34,0.013757165761694973
t51,0.013682664182872083
t89,0.013453822215471123
t16,0.013079973254968971
t88,0.013020847806784672
t30,0.01273861730161453
t12,0.01270888760907318
t77,0.012018039181970998
t50,0.011284830624026958
t1,0.01090900030417436
t28,0.010755105402315107
t69,0.009986704693340178
t58,0.009936366490527074
t52,0.009611097184145337
t37,0.00960497776480633
t66,0.009580511156779704
t13,0.009525434199895272
t29,0.009328080754678832
t71,0.009274012352989788
t57,0.008906156906591937
t93,0.00845437139774469
t3,0.008292775624131584
t25,0.007968627447566736
t79,0.00791390532012241
t42,0.0076438050723883185
t14,0.007474379893400759
t100,0.007422325665744914
t36,0.007406539597885838
t33,0.007241366203986008
t86,0.006526688086190525
t23,0.006169216182849624
t83,0.006153587380318623
t10,0.005920013703071265
t0,0.005898034781232281
t98,0.005805572148670743
t17,0.005649677772738819
t74,0.005486699923945188
t35,0.00543378474930758
t70,0.005403602468013263
t72,0.0053476264351743664
t91,0.005315514661741668
t63,0.005290163241100608
t26,0.005008430710336394
t53,0.0041584204101264705
t92,0.004001107302543036
t44,0.0039457361253937085
t31,0.003625931740853951
t60,0.0036001203398978287
t90,0.00354208884474873
t43,0.00329482252012502
t15,0.0027592309278246983
t65,0.0026936983180489643
t68,0.0025165374854420487
t22,0.002429895838400728
t67,0.0021895069699797275
t5,0.002126019687746903
t20,0.0017895147720672373
t6,0.00159773792130609
t87,0.0008687016978842615
t39,0.0007358370514420357
t82,0.0006893970474885376
t97,0.0006381588261279355
t73,0.0005665447962241269
t81,0.0004547109618257198
t76,0.0004217665212886443
t99,0.00021444997345323566
t84,0.00019466525725099563
t47,0.00016081751443539072
t85,0.0001257803477092203
t80,0.00012158445072841484
t75,3.406256914975044e-05
t4,1.8911218837066522e-05
t78,2.0539222226962533e-06
t94,0.0
