,shap
t19,0.027363462892695763
t12,0.02396378385669236
t89,0.023276791138408023
t79,0.021044087051811225
t51,0.020859555708942535
t69,0.01942797142006779
t52,0.018943599504544457
t24,0.01866257286109692
t21,0.016761499897378292
t100,0.01571988236787947
t13,0.015453892761460994
t46,0.015251997641368352
t10,0.015074474884444146
t3,0.014603755181788244
t11,0.01397348216004646
t64,0.013791154288491883
t17,0.01361784093022243
t96,0.013603871501881023
t62,0.013417670451125902
t29,0.013195494610948558
t49,0.012971601857182725
t86,0.012942156392244039
t57,0.012661995265279894
t83,0.01261868989727792
t45,0.012245192852010407
t70,0.012091870297608292
t15,0.011760032611699913
t27,0.011323168834889626
t38,0.011319451867717299
t43,0.011207333088561061
t60,0.01113934548920188
t16,0.010860901626203835
t72,0.010443394477715704
t56,0.010056260808079939
t41,0.009914186477168898
t50,0.009724938436213124
t18,0.009120558863317696
t76,0.008700224369726424
t39,0.007548186225207268
t31,0.007518493658105199
t1,0.007463078618060555
t63,0.007462065652398133
t40,0.00740100875054965
t55,0.0070560486118683395
t77,0.006904889031628156
t90,0.006766114127785809
t71,0.0066079484107336856
t74,0.0064689735468747055
t67,0.006314768594945765
t0,0.006158687579608043
t93,0.005678758152594375
t8,0.0056738029706678034
t5,0.0051761884682640525
t48,0.005158052635624978
t7,0.005111036925548287
t47,0.0050478239219092485
t101,0.004695485674169868
t32,0.004613469404400145
t28,0.00446104697548554
t66,0.0043958258006673205
t87,0.004356588704569109
t53,0.0039752220775277555
t36,0.003865960381999886
t54,0.0031781488205998563
t33,0.003020203247850309
t30,0.0029085803637916158
t68,0.0028462896350615447
t59,0.0028342105937712234
t61,0.0027902869949110736
t2,0.0027697066204874733
t95,0.0026465873821779878
t9,0.0025728632676483634
t98,0.002535042418996589
t65,0.0024112075287618883
t91,0.0022103077790163184
t35,0.0021111332334625937
t97,0.0019326497793627103
t25,0.0019105400372402082
t14,0.0018581278934445727
t85,0.0017591302737178743
t34,0.0014985593708191994
t58,0.0014624769577953158
t44,0.001457243122698119
t22,0.0014214894484665275
t88,0.001373213253127513
t4,0.0010277314639931315
t73,0.0009867829378990018
t92,0.0008913416985419447
t37,0.0008719228973039803
t23,0.0008454499211905742
t20,0.0007842913504432982
t26,0.0007046585056883313
t42,0.0005830725410752567
t99,0.0004545415172395083
t82,0.0004263263986423949
t80,0.0002637986665892632
t75,0.0002480346171676348
t6,0.00024234363849970112
t84,0.00016662250138286443
t81,7.767368041198487e-05
t78,4.554453721552332e-05
t94,0.0
