,shap
t19,0.026830738410692966
t12,0.026097303529227057
t79,0.02451278219984761
t89,0.023016321174404487
t17,0.020124907536171372
t10,0.019952187389741846
t51,0.019634898842962347
t52,0.019326098640013046
t83,0.019122557144376925
t13,0.016778139442936952
t69,0.016510211627269095
t24,0.01630162920591675
t3,0.015894799316095918
t55,0.015726813500610472
t21,0.01558345681913379
t43,0.015528716830438495
t48,0.015442962176191493
t32,0.015164826099250848
t40,0.014800661443569688
t100,0.01446544723591703
t86,0.013357632421298494
t59,0.013256208900064544
t11,0.013231015870838685
t15,0.012221861041694124
t60,0.012187777582839157
t66,0.012063542372771465
t46,0.012044562788616743
t29,0.012005921208647326
t57,0.01186202961293121
t7,0.011860708880063627
t64,0.011827346661539737
t63,0.011494753069530695
t1,0.011276208557425232
t95,0.011204059124593553
t45,0.010904394936075408
t72,0.010838226962997405
t50,0.01061099350746929
t70,0.010130241503664273
t27,0.009780153445998302
t54,0.0096662357888915
t30,0.009242248225942051
t49,0.008377687103714351
t76,0.00836308306357498
t39,0.008276265362582545
t67,0.007962399015845716
t0,0.007943473208084863
t96,0.007680057375601209
t74,0.007193254310924245
t9,0.006764834056715312
t61,0.006555777253914629
t87,0.006398256369626395
t31,0.006239049871382583
t90,0.006108926009957914
t36,0.006051400699648644
t16,0.005752869355674779
t77,0.005657831791687342
t34,0.00558001080777626
t56,0.005569394911404904
t18,0.0054204133840460396
t25,0.005301685151938744
t93,0.005194101431403506
t42,0.0050920338738869786
t98,0.005004374354086739
t5,0.004863962592996581
t47,0.004794806722817953
t65,0.0046248251870332656
t62,0.004459701420791812
t38,0.00431669523139069
t35,0.0039302209545044875
t88,0.0034425982646440296
t71,0.0025410859416290375
t41,0.0024169997899559504
t20,0.002180328280434208
t22,0.0019058324030500854
t28,0.001537531268107923
t73,0.0014452330590317686
t33,0.0014245520995135146
t53,0.001258140452616101
t97,0.0011635087774836497
t58,0.0010826153038414198
t85,0.0010390893792206295
t101,0.0009990309615446127
t92,0.0008314278043724773
t2,0.0007995294251545804
t37,0.000717302354899317
t44,0.0006085231633312713
t68,0.0005542359703906655
t99,0.0005345450209338088
t23,0.0004869750995648904
t6,0.0004834109997046931
t4,0.0004788893650591805
t82,0.00046530849253062484
t26,0.00040799124772768685
t75,0.00037119536949412947
t80,0.0003355925906647636
t8,0.00028236277953118307
t14,0.00027853732318331315
t81,0.0002743779929969449
t84,0.00017376089648782797
t78,7.44887103045348e-05
t91,2.7518268133430433e-05
t94,0.0
