,shap
t55,0.02606439329898616
t32,0.025386743978523568
t48,0.02384055613933169
t59,0.021935256471231634
t40,0.021426671173764705
t10,0.02139816158470062
t54,0.021118942449401323
t7,0.021009650730240775
t61,0.020131662426713066
t9,0.02009977102656369
t95,0.020019731949421762
t17,0.019635476929832557
t2,0.019348140871274358
t83,0.019140400556767655
t1,0.01859112438479256
t62,0.016504948425833946
t101,0.016117965748293838
t66,0.014203688277530513
t34,0.013178485054509276
t88,0.013032914266340729
t63,0.012959608897210114
t79,0.01286188156278143
t0,0.012357191251132826
t24,0.01222831048818598
t36,0.01189253139901447
t27,0.01145432332723873
t38,0.011441397912261588
t12,0.011246822190802364
t58,0.010942607688794135
t96,0.01053028043083148
t25,0.010111429740017462
t89,0.009632253466909935
t30,0.00962003063391821
t46,0.00961414569431824
t49,0.009458491326116533
t69,0.009237471729847723
t52,0.00915828601654338
t37,0.008993519636261688
t8,0.008899632286637755
t98,0.00875424139656917
t53,0.008716306035084895
t15,0.008538382846580728
t76,0.008337895553959664
t100,0.007988219336337058
t43,0.007289110585861818
t60,0.007074093898730748
t42,0.007019389200581034
t51,0.006985380389986028
t18,0.006501206199232847
t70,0.00639632285941694
t39,0.0063242714043783895
t44,0.006026793314402554
t3,0.005883813665627051
t28,0.00586362543955431
t21,0.005847884212664577
t86,0.005801512989077297
t65,0.005714663047847575
t13,0.005660750503808321
t45,0.00537290081272536
t14,0.005260713708395234
t23,0.005044053580855463
t47,0.0050035962250729905
t72,0.004788678259008382
t77,0.004771468855285518
t19,0.0038437326191664086
t26,0.0038221416943816414
t56,0.0036693019029470177
t41,0.00365337423904641
t33,0.0035538056267136503
t67,0.0034898855071702683
t29,0.0034412327880482497
t31,0.0032382238971695467
t57,0.0031732696783570496
t20,0.0029884422843644265
t87,0.0029059769526220748
t35,0.0028412082622883647
t91,0.0026264426377643232
t90,0.0026119483304669253
t92,0.002592218791426976
t5,0.0023387298223695487
t64,0.0023255598155573647
t71,0.002308706810948148
t93,0.002264151043108189
t73,0.002109771932779812
t16,0.0018985802553124643
t6,0.0017026370546320184
t85,0.0015354775242874203
t82,0.0014679042791029794
t50,0.001395510777472269
t4,0.0012697714257375696
t11,0.0011548984218206898
t97,0.0008610494318733099
t81,0.0006697690232259769
t74,0.0006301248479799312
t22,0.0005192523833481311
t99,0.00025177004467326076
t68,0.0002393896820104899
t75,0.00018374033826803392
t78,5.540629313841357e-05
t80,5.260061425334245e-05
t84,4.498076637335373e-05
t94,0.0
